,ID,message
10,9WH6v5XC0,"■錬金ボーナス解析 (2/2)

●錬金ボーナス中のpt獲得
ポイント　チャンスリプレイ　　強チェリー
20pt　　　　　75% 　　　　　　　　--
40pt　　　　　25% 　　　　　　　100%

ポイント　その他（ベルorリプ）
*1pt　　　　　78.1%
*3pt　　　　　12.5%
*5pt　　　　　*6.3%
10pt　　　　　*2.3%
20pt　　　　　*0.4%
40pt　　　　　*0.4%

【錬金ボーナス以外のpt獲得契機】
1pt…BIG成立時，高確または超高確から通常への転落時"
11,9WH6v5XC0,"■よくある質問 (1/2)
【基本】

Q．.筐体上のロゴの色が違う台がある
A．カスタムで変化します

Q．BIGの選曲が出ない
A．ART中にBIG引いて久遠の絆をきけば解放です

Q．どこまじ
A．超高中なら1でも出ます。塔では1/8で発生します
また、当選しても隠れる場合あり。よく見るケースは練金失敗→ナビあり

Q．BIGで結界防衛
A．練金で抽選ではなく、「ボーナス終了時」に40pt到達していれば結界です

Q．練金（REG）中の強チェ、チャンリプ
A．練金→高pt　REG→ミッション1G（格下げも無し）"
12,9WH6v5XC0,"■よくある質問 (2/2)
【カボチャン関連】

Q．6択当てたら上位カボチャンだった
A．上位カボチャン＋通常カボストック無しで終了した場合に6択を当てれば前回のまま復帰します

Q．蔓（つる）が出てきて悪になった
A．昇格ではなく、内部的に悪カボが表に出てきただけです

Q．まじちゃんが連続で来た。ボナ終了後も続いた
A．悪ープ機能の一つのまじかる～ぷ。抽選に漏れるまで発生し続けます

Q．カボチャンスの背景がいつもと違う（月や家がある）
A．箱の想い出保持中です

Q．思い出発動したのにまじかるちゃんす発生しなかった
A．あくまで「発生G」に発生です

Q．悪カボ中に突然扉閉まってまじちゃん
A．隠れカボ揃い＋悪～ぷ。レア役後の煽り中はカットインが出ないためです

Q．隠れカボ揃いを見抜きたい
A．レア役後・ルーレット・カウント0で逆押しカボ狙い。右中テンパイで確定です

Q．REGの季節
A．REG1発目だけ示唆。以降は通常時に落ちるまで順番に巡ります

Q．カボ揃いしたセットでボナ引いたのに1セットで終わった
A．ボナ入賞時にストックが無いときに保障のストック1個貰えます"
13,9WH6v5XC0,"■おまけ　※分からなくても通常遊戯に支障なし
中2択はカボチャコイン（枠上青7）とブーモリコイン（それ以外）
右2択は青7とそれ以外(赤7、バー、チェ)

A…￣｜：赤7・カボ・青7
B…￣　：赤7・ブー・青7
C…　｜：赤7・カボ・青以外
D…　　：赤7・ブー・青以外
（他のセグの部分は光っていても無視）

Bが変換→赤orREG
Dが変換→異色
ACが変換されない→ハズレ"
14,9WH6v5XC0,"■ミッション一覧

No.01 赤7BIG作動
No.02 青7BIG作動
No.03 異色BIG作動
No.04 錬金ボーナス突入
No.05 REGボーナス突入
No.06 錬金成功
No.07 REG中BGM変化
No.08 REG中BGM変化 「ストック30以上」 [RankSS]
No.09 まじかるちゃんす 銅箱
No.10 まじかるちゃんす 銀箱
No.11 まじかるちゃんす 金箱 [RankA]
No.12 まじかるちゃんす 悪箱
No.13 まじかるちゃんす 王冠 [RankS]
No.14 まじかるちゃんす 悪王冠 [RankS]
No.15 まじかるちゃんすを最後までねじる [RankS]
No.16 箱の想い出発生
No.17 箱の想い出の保留箱が3つ以上 [RankA]
No.18 2ゲーム連続まじかるちゃんす発生
No.19 5ゲーム連続まじかるちゃんす発生 [RankS]
No.20 ボーナス終了後1G目にまじかるちゃんす"
15,F+498EOe0,"No.21 どこまじ発生 [RankA]
No.22 カボチャンス突入
No.23 キングカボチャンス突入
No.24 悪カボチャンス突入
No.25 悪キングカボチャンス突入 [RankS]
No.26 スーパーカボチャンス突入 [RankS]
No.27 1000枚
No.28 2000枚 [RankA]
No.29 3000枚 [RankS]
No.30 ナビ無しで択一リプレイ正解
No.31 ナビ無しで択一リプレイ正解を3回 [RankA]
No.32 カボチャンス20連 [RankA]
No.33 カボチャンス50連 [RankSS]
No.34 カボチャ揃い
No.35 ゲーム連続カボチャ揃い [RankA]
No.36 カボチャ揃い一確目
No.37 カボチャ特殊テンパイ音発生（キンカボ確定テンパイ音） [RankA]
No.38 悪～ぷフリーズ発生
No.39 おばけカボちゃんバトル アリスで勝利 （※悪継続50%以上+ボナor継続66%以上の継続時）
No.40 おばけカボちゃんバトル ローズで勝利 [RankA] （※悪カボ中のBIG+EPor継続80%以上+REG）"
16,9WH6v5XC0,"No.41 カボチャンス100G突入 [RankA]
No.42 カボチャンス中 キャラ揃い
No.43 カボチャンス中 ちびっこアリス揃い [RankS]
No.44 カボチェックやってみたらあたってた
No.45 クロニクルバトル勝利
No.46 結界でカボチャンスストック告知
No.47 結界防衛でノワール参戦 [RankA]
No.48 EXミッション突入
No.49 SPミッション成功 [RankA]
No.50 詠唱中、画面中をカボチャンスアイコンで埋める [RankSS]
No.51 キングカボチャンス中に消音演出発生 [RankA]
No.52 中段チェリー出現 [RankS]
No.53 通常時カボチャ揃い [RankA]
No.54 ロングフリーズ発生 [RankSS]
No.55 天井 [RankA]
No.56 魔界突入
No.57 魔界で思念体に勝利 [RankA]
No.58 塔ステージ移行
No.59 塔ステージでボーナス当選 [RankA]
No.60 台ブルテンパイ音発生"
17,9WH6v5XC0,"No.61 ちびっこアリス テンパイ音発生
No.62 疑似連4連まで継続
No.63 下段青7揃い 右下がり青7揃い
No.64 サウンドプレミア発生 [RankA]
No.65 「まじあつ」 が出現 [RankA]
No.66 次回予告発生
No.67 CM演出 マジックショップファンタジアン [RankA]
No.68 CM演出 ベルガモット魔法学院 [RankA]
No.69 CM演出 宇宙ファイア花火大会 [RankA]
No.70 CM演出 まじかる！！ [RankA]
No.71 CM演出 魔界観光 [RankA]
No.72 CM演出 紅蓮の豚 [RankA]
No.73 なにこれ演出 ラビィのぬいぐるみ出現 [RankA]
No.74 悪だくみ演出 二人で夕飯の相談をする [RankA]
No.75 双子＆ペット演出 アリスがガルちゃんをやたらと可愛がる [RankA]
No.76 カボキャッチャー演出 ローズ人形ゲット [RankA]
No.77 ノワール本にスリスリ [RankA]
No.78 フロスト＆ノワール修練演出 復活成功
No.79 セリフ演出 ルラ、思ったよりお茶がアツかった [RankA]
No.80 セリフ演出 ルル、魔界穴を開く [RankA]"
18,F+498EOe0,"No.81 セリフ演出 ジャックと一緒に迷子になる [RankA]
No.82 キャラステップアップ5
No.83 クローバータイトル出現
No.84 「ブーモリを治療せよ！」で究極豚（アルティメットン）出現 [RankS]
No.85 「ハンマーゴングミッション！」 で復活勝利
No.86 「ランタンミッション！」 でランタンの並びがカボチャ型
No.87 「ガルダチェイス！」 復活勝利
No.88 「巨大オバケを討伐せよ！」 勝利
No.89 「ケルベロスを討伐せよ！」 復活勝利
No.90 「双子の魔族を撃退せよ！」 復活勝利
No.91 「魔鳥ガルダを撃破せよ！」復活勝利
No.92 「魔犬ケルベロスを撃破せよ！」復活勝利
No.93 「謎の瘴気を撃退せよ！」 勝利 [RankA]
No.94 エピソード1 「拒絶」
No.95 エピソード2 「未来」
No.96 エピソード3 「逆襲」
No.97 エピソード4 「解放」
No.98 エピソード5 「女神」
No.99 エピソード6 「紅蓮」
No.100 ラストエピソード 「二人」 [RankSS]"
19,9WH6v5XC0,今日はアリスウィッシュハートの誕生日
20,F+498EOe0,テンプレありがとう、連投規制やばない？
21,9WH6v5XC0,36までだっけ？
22,F+498EOe0,"おそらくそう
連投やら秒数やら変わってるからもしかすると即死も変わってるかも
落ちたらまた朝にでも建てるかな"
23,9WH6v5XC0,連投規制はまじでやっかい
24,F+498EOe0,途中交互にテンプレ張る意図かと思ってやったけど連投食らいまくって任せきりになってしまったww
25,F+498EOe0,120秒いけるか
26,9WH6v5XC0,一人でテンプレ貼れないのは他のスレ立てた時に経験してるから協力できてよかった
27,F+498EOe0,少し前は連投も秒数も0で行けたのにこれはさらに前の時より酷い
28,iv25y17O0,"支援
まだ打てる幸せ…"
29,iv25y17O0,連投規制あるのけ？
30,FcwSuJIna,設置伸びたからワンチャンさらに伸びるの期待
31,J/rWhM2SM,保守しとく
32,iv25y17O0,ほんとに名機だよねぇ
33,J/rWhM2SM,"実は通常時カボチャ揃い引けてない
引けますように"
34,F+498EOe0,連投の判定が良くわからない！
35,9WH6v5XC0,"アリス・ウィッシュハート

誰とでも仲良くなれる才能を持つ元気っ娘でちょっぴりドジな魔法使いの女の子。
魔法学院に在籍中だが魔法兵団一次試験に合格した為、見習い魔法兵団員として魔法兵団の仕事も手伝っている。
母親のセシルによりその身体に施された魔封の呪印が度重なる魔族状態への覚醒で弱まっており、
校長達からは「これ以上「魔族の力」を使ってはならない」と警告されている…。"
36,FcwSuJIna,"保守もありがとう
即死が分からないけど落ちたらまた誰か建てるか、朝にでも建てまする"
37,oxkUwgB30,">>1乙なんだな
今日はアリスのお誕生日"
38,bMyzjxC30,すまねぇアリス給付金はもうないんだ来年は必ず打つよ5がなくなっても7でな！
39,uhbfU4zer,">>1
きょうはアリスの誕生日～
なお仕事"
40,PF3T6HCRr,"通っているホールは一台設置で、万年設定2で毎日リセットをする
それでも抽選で良い番号引いたら、つい
据わってしまう
苦戦するのわかってるのだけど"
41,a81Bu7e60,うちのマイホでマジハロ示唆あったから今日は全6だよな？7の全6とかいらへんぞ
42,qbN8h62ud,">>1
乙！"
43,wuxqAkhDa,>>1乙
44,6FCJQ3O/0,"朝から行く予定だけどあんまり台のこと知らない
上段コインとか結界防衛よく行く台は設定いいかも位で見とけばいいのかな"
45,D3zxIWgXp,"出る台がいい台
ローズちゃんカスタムなら完璧"
46,F5hd8nOF0,">>41
苦戦で済むんならいいじゃない
こっちは常に敗戦ですわ"
47,6mmKCAMgd,">>45
あんまり知らないなら取り敢えず自力以外でARTの初当たりがよく取れるかどうか位だよ
下手に推測要素当てにして突っ張ると財布が死ぬ"
48,aoXT+dcG0,">>1
まじ乙！
さて、アリスの誕生日だし貢いでくるか！"
49,4FUGT49ta,">>1
乙

アリス誕生日なのに仕事で行けぬ...

魔界関連の事をマジハロプロ達に聞きたい
魔界って基本的に演出が
お化け通過
山？谷？みたいのを見る
呼び掛ける
上の三種類だと思うんだけど、呼び掛けるは個人的に熱いと思うんだ

レア小役引いて右から風で発展煽りが基本パターンだと思うんだが、呼び掛ける
でスイカで第３停止あっちになんかいるよ的なセリフで即発展したんだが即発展は激アツなんかな？
異色当たってた。

魔界でボナなんてそう頻繁に見れないから即発展初だったから聞いてみた"
50,Bq9qNt/+0,"田舎のホールが最近公開されたばかりのアリスの誕生日を知ってるとは思えない
万が一知ってたとして、ど平日に設定入れるなんて愚行・・・
いや、期待する分には構わないよ！"
51,uHwk2li+M,">>50
規定G数以外で発展したら確定"
52,D3zxIWgXp,"負けたら誕生日プレゼントだと思えばいい
ローズちゃんお誕生日にお祝い出来なくてごめんね
17歳のお誕生日おめでとう"
53,a81Bu7e60,">>53
ローズって17歳なん？てっきりおば、、、これ以上はやめとこ"
54,hdj2EwmD0,"アリスの誕生日？

真名と誕生日を知られた者には災いがふりかかるはずでは？

産廃汚物6,7の後付け台無し設定の話はやめてくれるかな？"
55,CRMBgtZn0,ローズさんじゅうななさい
56,oxkUwgB30,">>50
規定以外の発展で外れたことはない
基本的には風煽りで山、呼び掛けはレア役ヒットしてると即発展"
57,kSPYFKSm0,マジハロの誕生日設定っていつからですか？
58,Vrkb8//Fp,"お誕生日おめでとう
今日は俺の愛を注ぐからコイン投入口をくぱぁさせて
待ってろや
溜めた俺の愛をコインを魂を注ぐぜくぱぁに"
59,oxkUwgB30,下の口から溢れちゃうよ～って言ってたアリスはもういないんだ
60,VQfBE55Ha,"朝一押し順正解から異色まじちゃん2発
これは完全にキテルナ"
61,BxDn8sv5M,"キてると思った瞬間がピークなんやで
もう50回くらい騙されたけど"
62,OqPEtMD6a,"結界5Gほどで特殊リプおっほー！
なのにカボ揃いゼロ、レア役ゼロの偉業達成。
まあなんだかんだで600枚まで伸びたから満足だわぁ…止めようかとしたら低確どこまじ(弱チェ異色)！カボチャン単発だったけどハズレ確認。
これは、追えという啓示なのか？でもやれてる気がしないんだよな今日の俺"
63,+uFwe+wE0,"今日の俺って何だよ調子乗んなよ
やれてないのはいつもだろ
ローズカスタムにしないからだぞ"
64,vRacWr9br,">>58
まじおつちゃんねるで公開されたのが初"
65,Zr9R00fmx,">>45
高設定は結界行きやすいとはいえ何度も行ってたら懐に深手を負ってそう"
66,4FUGT49ta,">>52
>>57
ありがとう！
規定G以外で発展は確定だったのか
規定G到達前に風煽り来るから即発展で歓喜も覚えとく！"
67,+wrNW1sYd,6枚目
68,1pIAQB1I0,"朝イチメダル30枚チャンリプから赤7きっかけにBIG連打もカボチャン自力2回以外全く入らず
持ちメダル残り100枚ちょいで塔にてバケ
カボチャン中にバケ、異色、バケ（銅宝箱）、青7、カボチャ揃いきまくってなんとか13セット757枚
夕方から仕事だから勝ち逃げ投資30枚回収860枚"
69,nK2HTLMna,"アリスの生誕祭的なのやってるみたいだけど、難易度高くない？
大喜利的なものかつ画像加工スキル必須とかちょっと手が出ませんぜ"
70,+wrNW1sYd,思いが通じない一方通行7枚目
71,jd/Hgsc7a,"BIG3REG11ってなんだよう
ART中ハズレとか低確っぽいところでマジちゃん+REGとかあったけど追うべきなのか…"
72,oxkUwgB30,ハマりが来たあと通常時BIG連が始まるパターン
73,OqPEtMD6a,">>64
確かにいつもやれてなかったわ
でもローズカスタムだぞ！"
74,OOjpJAikF,"8万負けで帰宅
アリスお誕生日おめでとう…"
75,F5hd8nOF0,"誕生日なんてなかった
結界防衛一回入ってスルーしただけ"
76,yGu6VTula,"5000g回して退散
ボナ35回ART32回
-30k

なんでやねん"
77,jd/Hgsc7a,"5200回転BIG6REG20ART52 -27k
せめてボーナス比率1:1に収束してくれや…"
78,KD4oVHNOp,"この流れ…アリス様から逆に女神なプレゼントを頂けた画像とか貼れないな。

ありがとうアリス！"
79,DKb+VFm60,"俺は5000G回してボナ48回で微負けたしたことあるぞ
ハープ音1回しか聞けんかったわどこまじも０だ"
80,Bq9qNt/+0,"5000G回してボナ27のART15だったぜ！
結局いつものマジハロ
打ち手とホールの温度差がすごくて、とんでもなく萎える
分かってたことだが・・・
さすがにもう打つ気がなくなってきた"
81,maQ/r3G+M,"アキバでもなきゃ明日のがワンチャンあるだろう…
てかハロウィンですらベタピン営業やってくるのがザラなのに、誕生日把握して高設定入れるホールがいくつあるよ？"
82,s65z5bNNd,"6号機は超依存性の俺すら打たないからマジハロ5が消えれば引退できるのに...
なーんて思ってると規制緩くなって面白いマジハロ8がでたりするんだよなあ"
83,s65z5bNNd,">>82
店長なんてよくわからんカボチャの台としか思ってない
リセット恩恵も知らないから毎日据えおき、しかも据えおきがバレない機種と思ってる可能性も"
84,dWW2oLrmp,"うちのマイホの店長はマジハロ好きやなw
4/4でプラスやわ、中間設定はありそう"
85,eZdFUcErp,うちのマイホも6/6でプラスで18時の段階で6台合計1万枚だな
86,FR7grOecd,"アイランド全台っぽいね
あんまり跳ねてる台も無いけど、まんべんなく出てる"
87,P2RRLIqq0,"四時頃にふらっと様子見に行ったら朝からボナ3回のみの総800回転ほどで捨てられたままの台座ったら凸カボ。
そこの悪で特殊リプから青７。9ループ、8ループ。
20セットあたりで終わりそうなところでカボ揃いからまじかるーぷ(これは凸カボ？)
結局ループ含めて43カボしたけどボナが弱すぎて2150枚終了だったわ…"
88,ZMNkLhbbr,"マクロスF2亡き今マジハロ5しか打つ台ないわ
マジハロ5もなくなったらパチスロ卒業しそう"
89,ZNNFAz9L0,"まあアイランドはな
誕生日は必須で入れるから"
90,oxkUwgB30,まじおつちゃんねるでも言ってたけど志遠ちゃんも誕生日なんだよ！忘れないで！
91,a81Bu7e60,">>91
誰それ？そんな奴知らん"
92,kmPgHxr6M,アイランドは抽選突破難易度が高すぎる
93,P2RRLIqq0,しおんちゃんだろ？あの拷問狂の。知ってるぜ
94,FlRRqGlM0,"いつも低設定のマジハロが全台出ていてどの台も3箱は積んでた
まさかアリスの誕生日を知っていて設定入れたのか何なんだ
普段低設定を回して地獄を見ているのに打てない時は出てるとか酷いよ
いつもガラガラなのにマジハロは埋まってるという休み取れば良かったよ"
95,YAY1zdKR0,あらゆる視点から読んでもキモい
96,PDhe37E8d,"何かめちゃ調子よく2400枚出てくれたけど仕事終わって行くと時間気になってダメだな
おそらく80%の悪カボで12ループボナ無しカボ無しは精神的に辛かった"
97,RtccYFUJ0,ねぇ～ローズ～もっと誕生日ごっこしたいよ～
98,aoXT+dcG0,"帰宅
おそらく3台全部6だった可能性あるな、自分の台はwアリワンで6確定した
どこまじもガンガンくるし、REG3回位で結界入るし、BIGでもまじかるしとにかく面白かった
魔界ボナでスーカボ11連からなんだかんだでカボ68連で一撃4600枚含む+8150枚で終了

スーカボ中ってカボリプ2回以上揃えてもキンカボにならないのね、初めて知ったよ"
99,mc7fOUr6a,">>99
錬金３回で結界って普通じゃね？"
100,a81Bu7e60,">>99
6確定演習はありません"
101,Gus3Zout0,"正確に言うと、錬金最大で3回以内には毎回結界来てたのよ
Wアリワンは4or6か、設定差のあるボーナスで6と思いこんだから出たのかなｗ
3台とも+3000枚以上は出てたから全6だと思っておこう
明日はリセット確認してくるか"
102,osSwqER8a,"6確定演出ないのが駄目なとこ
店も客もどやできない
大体6がわかりにくい"
103,VqCapAyF0,ボナ引ける4は6を凌駕するよ
104,YO+pjRy+0,"打つ度思うんだけどマジハロ6甘くね？5回打って全部完走してるわ
ゲーム性もわりとごちゃごちゃしてて飽きない

作画がゲロヤバかつ新キャラ多すぎて誰が誰だかわからんのが難点やな…
カボ揃いの1枚絵あんなにシコなのになあ"
105,gxRqoxda0,実機持ってるが、普通に6でもマイナス域にガンガン行くよ
106,gxRqoxda0,ただ、ホールで朝イチリプレイで発展赤文字になってビッグ引いたら、ちょっとは期待しちゃう
107,U/vtbszm0,"推定4ぶんまわしたけど、4って結界入りまくるんだな
2スルーしたの1回だけだわ


-20k"
108,UXiB01ama,"まじおつで開発者が設定よりヒキって言ってるからなぁ
毎度の事だが5000枚以上も出てたらART滞在率も高いだろうし設定もクソもないな
皮肉な事に設定差を最も感じられる所が通常時からばかりというね"
109,/dNxlSp/0,"ボナなんて5,6で僅かにしか違わないのにリプがー弱チェがーで4ある！とか言っちまうくらいだからな
こんな養分がいるから俺達も安心して養分になれる、優しい世界"
110,SzGAlkqnd,"ARTさえ入れば設定関係ない台は人気でるよね
まどか2とかだとボナ引いてCZが20%弱？貰えるのかな
マジハロならボナさえ引けば最低1/6でARTとかゲロ甘だ..."
111,TN80G0AV0,"難しいのはボナをタイミング良く引くことだけだもんな！
あのカボチャンの隙間にやたらとぶっ刺さってくる同色7どもはなんなんだ…"
112,CZRhZV8q0,この台だけは養分打ちしちゃうわ
113,gxRqoxda0,"まど2はクエスト1000乗せの大事故あるからなぁ
ラッシュ入ったらチャンメ強チェでほぼボーナス確定だし

でも、マジハロ打っちゃう悔しい！"
114,QChRLHcJp,"昨日はフロカス花火成功、スイカの次に特殊リプ引いてドラキュラでボナ久しぶりに見たが、死神で激熱出てくる演出初めて見た
ホールでもかなり打ち込んでるし、実機持ってるけど、見れていない演出まだあんのかなあ"
115,TMagYySda,">>114
まど2のチャメ、強チェははずれまくるやん"
116,QChRLHcJp,">>116
通常時ならともかく、ラッシュ中にガセの経験ほぼないわ

>>115
公式見てきたら死神演出書かれてるから珍しくないんか
魔界cmホールでもう一回見たいなぁ"
117,QChRLHcJp,">>116
よく考えたら、まど2打つのほぼ100パー上の設定入れてくれるホールの旧特日だけだわ
いつも打ってるわけじゃないから断言できんなすまん"
118,7sfscBLCa,">>117
まど2のチャンス目と強チェは通常時と同じ抽選"
119,TMagYySda,">>118
解析を見てから書き込んだ方が良いよ
めちゃくちゃでたらめ書いてるから

マジハロはart中の強チェでほぼボーナス引けると同じレベルのデタラメ具合"
120,LfaK/kB6d,まど2はチャメも強チェも払い出しある小役なんだから状態によって確率変わるわけないんだよなぁ
121,mFTxUoEaM,"マジハロ5は何と言うかリプレイフラグの使い方が上手

という事でアプリはよ"
122,+QCp+SeuM,10年前も17歳とか言ってたぞ
123,KaN6K2G+d,永遠の17歳です！とかいってるバカアイドルみたいな扱いやめて
124,ICiJwNWZ0,一撃3000枚クラスは1日打ってれば一回ぐらいはくるからいい台ではあるよね
125,8xX5LeE+d,">>125
マジハロ5打てよぉ"
126,EINNQMo80,">>118
強茶目強チェは設定差ないぞエアプくんw"
127,WqdCWki80,"キンカボ中にノワールカットインからのチャンリプそしてなんもなし。
こんなんよくあるやつ？"
128,rc7v5AUD0,このまど2のくだりはなんなんだ
129,fT91Hn+J0,ハズレの美学
130,/dNxlSp/0,"vコインのチャンリプだったらこれだから美学は…
リプ外れのチャンリプだったらこれだから美学は！！！！
後者のノーボナは見たこと無いけどあるのかしら"
131,kvMvetkwM,">>125
可動100%のアイランド張り付いてるけどそんな甘くない"
132,0VPdXdXwx,">>128
前に指摘されたんだがカボチャンス中はVコインリプも強小役扱いとのこと
中押しすると普通のチャンリプと同じ形で止まるからそれでは？"
